Event(timestamp=datetime.datetime(2025, 3, 18, 18, 56, 41, 168593), event_type='test_event', metadata={'description': 'This is a test event'}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 3, 18, 18, 57, 5, 538365), event_type='test_event', metadata={'description': 'This is a test event'}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 3, 18, 18, 57, 43, 108400), event_type='test_event', metadata={'description': 'This is a test event'}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 3, 18, 19, 2, 13, 300409), event_type='test_event', metadata={'description': 'This is a test event'}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 3, 18, 21, 3, 34, 164072), event_type='test_event', metadata={'description': 'This is a test event'}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 3, 18, 21, 39, 45, 625948), event_type='command_executed', metadata={'command': 'test_command', 'params': {'key': 'value'}}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 3, 18, 21, 46, 23, 217812), event_type='command_executed', metadata={'command': 'test_command', 'params': {'key': 'value'}}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 7, 39, 34, 999436), event_type='command_executed', metadata={'command': 'help', 'params': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 8, 0, 27, 986704), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 8, 0, 44, 127641), event_type='command_executed', metadata={'command': 'hpc_sync_up', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 8, 58, 22, 86934), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 9, 7, 45, 32878), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 9, 7, 59, 627760), event_type='command_executed', metadata={'command': 'env_get', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 9, 8, 6, 952169), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 9, 8, 13, 302787), event_type='command_executed', metadata={'command': 'config_ssh', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 9, 46, 40, 889123), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 31, 46, 897420), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 33, 17, 413665), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 35, 41, 96609), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 35, 42, 847346), event_type='command_executed', metadata={'command': 'test', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 35, 49, 154400), event_type='command_executed', metadata={'command': 'test', 'args': ['help']}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 36, 5, 457075), event_type='command_executed', metadata={'command': 'help', 'args': ['test']}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 38, 56, 360913), event_type='command_executed', metadata={'command': 'help', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 38, 58, 170453), event_type='command_executed', metadata={'command': 'test', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 40, 17, 400039), event_type='command_executed', metadata={'command': 'test', 'args': []}, user='Robert Hoehndorf')
Event(timestamp=datetime.datetime(2025, 4, 15, 14, 40, 20, 676569), event_type='command_executed', metadata={'command': 'test', 'args': ['config']}, user='Robert Hoehndorf')
